course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130155947,1,0,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-02-16,2013-02-16,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130155947,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-10-03,,,1,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130281165,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-08-17,2013-03-12,6,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130456774,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-09-10,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130430993,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-10-18,2013-02-26,6,1,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130284407,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-01-16,2013-07-13,17,3,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130284407,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-01-16,2013-07-13,66,4,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130288363,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-12-15,,,,,3.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130191077,1,1,1,1,Other Middle East/Central Asia,NA,NA,NA,0.9,2013-05-31,2013-09-07,2130,24,,29.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130516993,1,0,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-12-20,2013-06-08,3,2,,,0,,
HarvardX/CS50x/2012,MHxPC130578042,1,0,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-08-17,,,2,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130578042,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-12-25,2013-08-12,63,3,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130314575,1,1,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2012-07-24,,,1,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130256865,1,0,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-01-23,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130256865,1,0,0,0,Other Middle East/Central Asia,NA,NA,NA,0,2013-01-23,,,,,,0,,
