course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CB22x/2013_Spring,MHxPC130498693,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,,2013-02-13,2013-02-14,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130532567,1,1,1,1,"Other North & Central Amer., Caribbean",NA,NA,NA,1,2012-08-10,2013-04-24,6,6,,12.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130125826,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-12-21,2013-11-17,,2,,,0,,1
HarvardX/CS50x/2012,MHxPC130125826,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-07-25,,,2,,4.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130125826,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2013-02-06,,,2,,,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130125826,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-12-21,,,2,,,0,,1
HarvardX/CS50x/2012,MHxPC130011895,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-09-24,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130570819,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-12-21,2013-03-15,60,2,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130570819,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-12-21,2013-03-14,2,1,,,0,,
HarvardX/CS50x/2012,MHxPC130091911,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-12-23,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130199197,1,1,1,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-17,2013-03-07,13,2,,8.0,0,,
HarvardX/CS50x/2012,MHxPC130403599,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2013-01-01,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130002083,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.0,2012-12-18,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130545411,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-20,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130010789,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-16,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130083055,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-20,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130342661,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-19,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130550933,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.1,2013-05-16,2013-06-01,419,5,29,4.0,0,,
HarvardX/CS50x/2012,MHxPC130135337,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-07-27,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130210825,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-09-03,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130156720,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130133729,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130449131,1,1,1,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-07-24,2013-07-14,55,18,,9.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130449131,1,1,1,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.1,2012-12-20,2013-08-05,901,61,,21.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130449131,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2013-02-28,2013-07-02,97,10,7,4.0,0,,
HarvardX/CS50x/2012,MHxPC130528812,1,1,1,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-16,,,18,,7.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130528812,1,1,1,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.45,2012-12-21,2013-06-24,1422,18,116,6.0,0,,
HarvardX/CS50x/2012,MHxPC130547730,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130486678,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.03,2012-08-21,2012-10-28,633,8,44,3.0,0,,
HarvardX/CS50x/2012,MHxPC130078559,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-18,,,,,1.0,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130520882,1,1,1,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.08,2012-11-23,2013-02-18,1837,18,74,10.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130520882,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,,2012-12-21,,,18,,,0,,1
HarvardX/CS50x/2012,MHxPC130365279,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130425866,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-18,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130190878,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2013-01-07,2013-02-11,1,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130314928,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-18,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130016817,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130358901,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0.0,2013-07-23,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130548139,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-10-18,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130365903,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,,2013-03-01,2013-05-20,371,4,10,2.0,0,,
HarvardX/CS50x/2012,MHxPC130256514,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-28,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130105271,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130077142,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-12-20,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130124885,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-09-30,,,,,2.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130123643,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2013-02-20,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130069076,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-29,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130069076,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,,2013-02-07,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130376545,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-11,2012-10-01,4,3,,,0,,
HarvardX/CS50x/2012,MHxPC130248633,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130306762,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-19,,,1,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130306762,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-19,2012-08-19,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130350276,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130276905,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-09-16,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130276905,1,0,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,,2012-12-20,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130190942,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-09-27,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130538054,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-17,2013-02-27,4,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130061522,1,1,0,0,"Other North & Central Amer., Caribbean",NA,NA,NA,0,2012-08-28,,,,,1.0,0,,1
