course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/ER22x/2013_Spring,MHxPC130546328,1,0,0,0,Other Oceania,NA,NA,NA,0,2012-12-21,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130269476,1,0,0,0,Other Oceania,NA,NA,NA,0.0,2012-08-20,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130558755,1,1,0,0,Other Oceania,NA,NA,NA, ,2013-02-14,2013-05-26,96,14,,3.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130558755,1,1,0,0,Other Oceania,NA,NA,NA,0.14,2013-02-14,2013-05-24,280,3,25,3.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130486263,1,0,0,0,Other Oceania,NA,NA,NA, ,2013-01-22,2013-11-17,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130560440,1,1,0,0,Other Oceania,NA,NA,NA,,2013-01-22,2013-03-17,10,3,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130423625,1,0,0,0,Other Oceania,NA,NA,NA,0.0,2013-07-29,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130215992,1,0,0,0,Other Oceania,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130097421,1,0,0,0,Other Oceania,NA,NA,NA,0,2012-11-22,,,,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130165932,1,1,0,0,Other Oceania,NA,NA,NA,0,2013-04-10,2013-06-01,110,5,3,2.0,0,,
HarvardX/CS50x/2012,MHxPC130183058,1,1,1,0,Other Oceania,NA,NA,NA,0,2013-03-12,2013-03-13,25,2,,6.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130368298,1,0,0,0,Other Oceania,NA,NA,NA,0,2013-03-29,2013-03-30,1,1,,,0,,
