course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/PH207x/2012_Fall,MHxPC130134207,1,1,0,0,Other South America,NA,NA,NA,0,2012-07-30,2012-11-12,20,4,2,2.0,0,,
HarvardX/CS50x/2012,MHxPC130505138,1,1,0,0,Other South America,NA,NA,NA,0,2012-10-19,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130313415,1,1,0,0,Other South America,NA,NA,NA,0,2012-12-22,2013-03-14,35,2,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130519710,1,1,0,0,Other South America,NA,NA,NA,0,2012-07-24,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130225403,1,0,0,0,Other South America,NA,NA,NA,0.0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130537251,1,1,0,0,Other South America,NA,NA,NA,0,2013-01-29,2013-04-11,2,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130361849,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-10,2013-08-10,5,2,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130341631,1,0,0,0,Other South America,NA,NA,NA,,2013-02-05,2013-02-15,2,2,,,0,,
HarvardX/CS50x/2012,MHxPC130341631,1,1,0,0,Other South America,NA,NA,NA,0,2013-02-05,2013-02-15,17,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130399376,1,1,0,0,Other South America,NA,NA,NA,0,2012-11-29,2013-03-23,14,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130413777,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130286129,1,1,0,0,Other South America,NA,NA,NA,,2013-03-09,2013-03-25,5,2,,1.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130286129,1,1,0,0,Other South America,NA,NA,NA,0,2013-03-09,2013-05-16,59,3,4,2.0,0,,
HarvardX/CS50x/2012,MHxPC130187973,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-16,2013-03-09,26,5,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130017087,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-16,2013-07-28,7,2,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130482673,1,1,0,0,Other South America,NA,NA,NA,0,2013-01-12,2013-03-15,156,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130444889,1,1,1,0,Other South America,NA,NA,NA,0,2012-10-26,2013-04-13,830,45,,12.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130444889,1,1,0,0,Other South America,NA,NA,NA,,2013-04-01,2013-04-02,43,2,,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130444889,1,1,0,0,Other South America,NA,NA,NA,,2013-03-03,2013-05-22,23,4,3,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130245799,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-16,2013-03-13,2,2,,,0,,
HarvardX/CS50x/2012,MHxPC130245799,1,1,0,0,Other South America,NA,NA,NA,0,2012-07-30,2013-03-13,1,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130245799,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-16,2013-02-16,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130031577,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-02,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130431906,1,1,0,0,Other South America,NA,NA,NA,0,2012-10-14,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130096983,1,1,0,0,Other South America,NA,NA,NA,0,2013-01-25,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130551179,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-22,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130367574,1,0,0,0,Other South America,NA,NA,NA,0,2013-08-18,2013-11-17,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130427190,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-14,2013-02-14,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130427190,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-14,2013-02-14,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130090951,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130400240,1,1,0,0,Other South America,NA,NA,NA,0,2013-01-22,2013-02-18,27,5,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130247214,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-27,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130196783,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-11,2013-05-02,2,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130409291,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-19,2013-06-26,38,2,,3.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130409291,1,1,0,0,Other South America,NA,NA,NA,0,2013-04-09,2013-06-29,8,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130363111,1,1,1,0,Other South America,NA,NA,NA,0,2012-07-24,2013-02-21,43,6,,7.0,0,,
HarvardX/CS50x/2012,MHxPC130091430,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130124360,1,0,0,0,Other South America,NA,NA,NA,0,2012-07-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130466844,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130253474,1,1,0,0,Other South America,NA,NA,NA,0,2012-12-26,2013-06-30,9,1,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130052424,1,1,0,0,Other South America,NA,NA,NA,,2013-02-14,2013-03-14,23,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130107486,1,1,0,0,Other South America,NA,NA,NA,0,2012-09-04,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130507619,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130164853,1,1,0,0,Other South America,NA,NA,NA,0,2012-10-25,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130056574,1,0,0,0,Other South America,NA,NA,NA,0,2012-10-15,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130556963,1,0,0,0,Other South America,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130525431,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-15,2013-02-15,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130525431,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-04,2013-02-27,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130525431,1,0,0,0,Other South America,NA,NA,NA,0,2013-02-26,2013-02-27,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130275154,1,1,0,0,Other South America,NA,NA,NA,0,2012-08-27,,,,,2.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130322221,1,0,0,0,Other South America,NA,NA,NA,0,2013-03-01,2013-03-01,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130064118,1,1,0,0,Other South America,NA,NA,NA,0,2012-09-25,2013-04-01,31,6,,1.0,0,,
