course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130503532,1,1,0,0,Other South Asia,NA,NA,NA,0,2012-07-24,,,,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130360224,1,1,0,0,Other South Asia,NA,NA,NA,,2013-01-23,2013-03-20,87,5,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130281360,1,1,0,0,Other South Asia,NA,NA,NA,0,2012-07-24,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130569970,1,0,0,0,Other South Asia,NA,NA,NA,0,2012-07-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130105165,1,0,0,0,Other South Asia,NA,NA,NA,0,2012-07-25,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130283725,1,1,0,0,Other South Asia,NA,NA,NA,0,2013-03-08,2013-03-08,2,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130283725,1,0,0,0,Other South Asia,NA,NA,NA,0,2013-01-23,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130351408,1,0,0,0,Other South Asia,NA,NA,NA,0,2012-08-30,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130009884,1,1,0,0,Other South Asia,NA,NA,NA,0,2012-08-21,2012-12-13,89,4,9,3.0,0,,
HarvardX/CS50x/2012,MHxPC130237237,1,1,0,0,Other South Asia,NA,NA,NA,0,2012-07-25,2013-02-15,7,1,,3.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130288564,1,0,0,0,Other South Asia,NA,NA,NA,,2013-02-14,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130543202,1,1,0,0,Other South Asia,NA,NA,NA,,2012-12-22,2013-06-22,217,7,,3.0,1,,
HarvardX/ER22x/2013_Spring,MHxPC130252939,1,0,0,0,Other South Asia,NA,NA,NA,0,2013-01-15,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130306970,1,1,0,0,Other South Asia,NA,NA,NA,0,2013-02-15,,,,,1.0,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130309314,1,0,0,0,Other South Asia,NA,NA,NA,,2013-06-18,2012-09-12,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130314132,1,1,1,0,Other South Asia,NA,NA,NA,,2013-01-29,2013-07-30,1793,13,,27.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130314132,1,1,0,0,Other South Asia,NA,NA,NA,,2013-01-29,2013-06-19,3,2,,,0,,
HarvardX/CS50x/2012,MHxPC130003673,1,0,0,0,Other South Asia,NA,NA,NA,0,2012-08-14,,,1,,,0,,1
