course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130096998,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-22,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130102400,1,1,0,0,Pakistan,NA,NA,NA,0,2012-07-24,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130428884,1,0,0,0,Pakistan,NA,NA,NA,0,2012-07-25,,,,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130479620,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-18,2012-08-18,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130368142,1,1,0,0,Pakistan,NA,NA,NA,0,2012-12-19,,,,,1.0,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130166192,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-15,2012-08-15,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130037026,1,0,0,0,Pakistan,NA,NA,NA,0,2012-07-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130009765,1,1,0,0,Pakistan,NA,NA,NA,0,2013-03-17,2013-04-14,49,4,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130126904,1,1,0,0,Pakistan,NA,NA,NA,0,2012-12-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130222577,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-14,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130395765,1,0,0,0,Pakistan,NA,NA,NA,0,2012-09-08,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130471798,1,0,0,0,Pakistan,NA,NA,NA,0,2012-09-05,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130345561,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130445036,1,1,0,0,Pakistan,NA,NA,NA,0.0,2012-12-20,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130218423,1,1,0,0,Pakistan,NA,NA,NA,0,2013-06-21,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130327040,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130363713,1,0,0,0,Pakistan,NA,NA,NA,0,2012-09-19,2013-03-05,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130021762,1,1,0,0,Pakistan,NA,NA,NA,0,2013-02-15,2013-03-15,28,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130002770,1,1,0,0,Pakistan,NA,NA,NA,0.0,2012-09-11,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130109582,1,1,0,0,Pakistan,NA,NA,NA,0,2012-10-12,,,,,2.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130439924,1,1,0,0,Pakistan,NA,NA,NA,,2012-12-21,2013-03-27,6,1,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130439924,1,0,0,0,Pakistan,NA,NA,NA,,2013-01-22,,,1,,,0,,1
HarvardX/CS50x/2012,MHxPC130306403,1,1,1,0,Pakistan,NA,NA,NA,0,2012-10-08,2013-04-22,58,4,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130121636,1,1,0,0,Pakistan,NA,NA,NA,0,2012-08-22,,,,,1.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130100534,1,0,0,0,Pakistan,NA,NA,NA,0,2013-02-05,2013-11-17,,6,,,0,,1
HarvardX/CS50x/2012,MHxPC130100534,1,1,0,0,Pakistan,NA,NA,NA,0,2013-01-25,,,6,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130100534,1,1,0,0,Pakistan,NA,NA,NA,0,2013-01-03,2013-08-03,47,6,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130523393,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-20,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130495612,1,1,0,0,Pakistan,NA,NA,NA,0.04,2012-12-21,2013-04-06,189,7,,8.0,0,,
HarvardX/CS50x/2012,MHxPC130110470,1,0,0,0,Pakistan,NA,NA,NA,0,2013-02-21,2013-02-21,1,1,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130185019,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-23,2012-08-23,1,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130237628,1,1,0,0,Pakistan,NA,NA,NA,,2012-12-19,2013-03-23,13,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130056553,1,0,0,0,Pakistan,NA,NA,NA,0,2012-08-09,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130538971,1,0,0,0,Pakistan,NA,NA,NA,0,2012-09-27,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130210961,1,1,1,0,Pakistan,NA,NA,NA,0,2012-08-17,2013-02-15,9,1,,6.0,0,,
HarvardX/CS50x/2012,MHxPC130060972,1,0,0,0,Pakistan,NA,NA,NA,0,2012-09-29,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130264367,1,1,0,0,Pakistan,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
