course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/PH278x/2013_Spring,MHxPC130406922,1,0,0,0,Philippines,NA,NA,NA,0,2013-04-01,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130393027,1,0,0,0,Philippines,NA,NA,NA,0.0,2012-08-16,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130055073,1,0,0,0,Philippines,NA,NA,NA,,2012-12-22,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130045246,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-17,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130048319,1,1,0,0,Philippines,NA,NA,NA,0,2012-11-07,2013-02-15,2,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130284757,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130587087,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-23,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130280606,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-17,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130379776,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130580209,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-29,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130135033,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130312060,1,0,0,0,Philippines,NA,NA,NA,0,2012-07-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130154865,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130558137,1,1,0,0,Philippines,NA,NA,NA,0,2012-10-22,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130040981,1,1,0,0,Philippines,NA,NA,NA,0.32,2013-01-23,2013-05-22,471,4,2,2.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130239997,1,0,0,0,Philippines,NA,NA,NA,,2012-12-21,,,16,,,0,,1
HarvardX/CS50x/2012,MHxPC130297842,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130068585,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130403958,1,0,0,0,Philippines,NA,NA,NA,0.0,2013-06-02,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130463203,1,1,1,1,Philippines,NA,NA,NA,1,2012-08-15,2013-05-10,74,24,,12.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130565455,1,1,0,0,Philippines,NA,NA,NA,0,2013-03-13,2013-05-29,55,7,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130565455,1,0,0,0,Philippines,NA,NA,NA,0.0,2013-05-29,,,7,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130309722,1,0,0,0,Philippines,NA,NA,NA,0,2013-02-20,2013-02-20,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130309722,1,0,0,0,Philippines,NA,NA,NA,0,2013-02-20,2013-02-20,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130309722,1,0,0,0,Philippines,NA,NA,NA,0,2013-02-20,2013-02-20,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130306600,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-27,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130224630,1,0,0,0,Philippines,NA,NA,NA,0,2012-09-21,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130136961,1,0,0,0,Philippines,NA,NA,NA,0,2013-01-01,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130079732,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-27,,,1,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130079732,1,0,0,0,Philippines,NA,NA,NA,,2013-02-03,2013-04-07,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130397570,1,1,0,0,Philippines,NA,NA,NA,0.0,2013-05-13,2013-05-13,14,1,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130175929,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-17,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130073996,1,1,0,0,Philippines,NA,NA,NA,0,2012-08-28,2013-03-25,8,2,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130296312,1,1,0,0,Philippines,NA,NA,NA,0,2013-02-15,2013-03-22,187,11,,3.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130296312,1,1,0,0,Philippines,NA,NA,NA,0.04,2013-02-15,2013-06-18,368,26,,9.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130134179,1,1,0,0,Philippines,NA,NA,NA,,2012-12-21,2013-03-16,27,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130066817,1,0,0,0,Philippines,NA,NA,NA,0.0,2013-06-06,2013-06-07,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130072679,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130304288,1,1,0,0,Philippines,NA,NA,NA,0,2012-09-28,,,,,2.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130168774,1,1,0,0,Philippines,NA,NA,NA,0,2013-01-24,2013-03-18,26,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130261457,1,0,0,0,Philippines,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130312028,1,1,0,0,Philippines,NA,NA,NA,0,2012-10-22,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130353845,1,1,0,0,Philippines,NA,NA,NA,,2013-05-14,2013-06-03,153,4,29,4.0,0,,
