course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130464299,1,1,0,0,Portugal,NA,NA,NA,0.0,2012-08-16,2013-04-08,5,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130580563,1,0,0,0,Portugal,NA,NA,NA,0.0,2012-07-24,,,5,,,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130511988,1,0,0,0,Portugal,NA,NA,NA,,2012-12-20,2013-04-15,3,3,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130511988,1,1,1,1,Portugal,NA,NA,NA,0.91,2012-12-20,2013-08-15,2653,85,,34.0,0,,
HarvardX/CS50x/2012,MHxPC130045481,1,0,0,0,Portugal,NA,NA,NA,0.0,2012-07-31,,,1,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130045481,1,0,0,0,Portugal,NA,NA,NA,0,2012-07-31,2012-07-31,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130140387,1,1,0,0,Portugal,NA,NA,NA,0,2012-12-21,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130535202,1,0,0,0,Portugal,NA,NA,NA,0,2012-09-10,,,,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130216383,1,0,0,0,Portugal,NA,NA,NA,0,2013-02-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130001985,1,1,0,0,Portugal,NA,NA,NA,0,2012-09-30,2013-08-08,12,2,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130169576,1,0,0,0,Portugal,NA,NA,NA,0,2013-03-29,2013-06-04,2,2,,,0,,
HarvardX/CS50x/2012,MHxPC130169576,1,0,0,0,Portugal,NA,NA,NA,0,2013-03-29,2013-03-29,1,1,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130169576,1,0,0,0,Portugal,NA,NA,NA,0,2013-03-29,2013-03-29,1,1,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130169576,1,0,0,0,Portugal,NA,NA,NA,,2013-06-04,2013-03-29,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130169576,1,0,0,0,Portugal,NA,NA,NA,0,2013-03-29,2013-06-04,3,2,,,0,,
HarvardX/CS50x/2012,MHxPC130454056,1,0,0,0,Portugal,NA,NA,NA,0,2012-08-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130304072,1,1,0,0,Portugal,NA,NA,NA,0,2012-08-23,,,,,4.0,0,,1
