course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130251105,1,0,0,0,Russian Federation,NA,NA,NA,0,2012-09-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130577863,1,1,0,0,Russian Federation,NA,NA,NA,0,2012-09-24,2013-03-29,7,1,,5.0,0,,
HarvardX/CS50x/2012,MHxPC130571576,1,1,0,0,Russian Federation,NA,NA,NA,0.0,2013-06-02,2013-06-09,10,2,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130201475,1,1,0,0,Russian Federation,NA,NA,NA,0,2012-07-24,,,2,,2.0,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130201475,1,0,0,0,Russian Federation,NA,NA,NA,,2012-08-17,2012-08-28,2,2,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130007191,1,1,1,1,Russian Federation,NA,NA,NA,0.95,2012-12-21,2013-07-29,1735,44,,34.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130300752,1,1,1,0,Russian Federation,NA,NA,NA,0,2013-04-09,2013-07-24,471,27,,23.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130401272,1,1,0,0,Russian Federation,NA,NA,NA,,2013-02-09,2013-03-27,4,1,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130232352,1,1,0,0,Russian Federation,NA,NA,NA,,2013-07-07,2013-07-07,11,1,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130232352,1,0,0,0,Russian Federation,NA,NA,NA,,2012-12-19,,,1,,,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130066991,1,0,0,0,Russian Federation,NA,NA,NA,0,2013-01-08,,,,,,0,,
HarvardX/ER22x/2013_Spring,MHxPC130415322,1,1,0,0,Russian Federation,NA,NA,NA,0,2013-01-05,2013-03-13,12,2,,2.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130021223,1,1,1,1,Russian Federation,NA,NA,NA,0.89,2013-01-23,2013-08-11,1707,47,,33.0,0,,
