course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130552898,1,0,0,0,Spain,NA,NA,NA,0,2012-07-31,,,4,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130552898,1,1,1,0,Spain,NA,NA,NA,0.28,2012-07-31,2013-06-21,5187,72,513,13.0,0,,
HarvardX/PH278x/2013_Spring,MHxPC130552898,1,1,0,0,Spain,NA,NA,NA,0,2013-02-12,2013-06-01,9,4,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130568780,1,0,0,0,Spain,NA,NA,NA,0,2012-12-20,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130472923,1,1,0,0,Spain,NA,NA,NA,0,2012-10-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130242086,1,1,1,0,Spain,NA,NA,NA,0,2012-09-15,,,,,10.0,0,,1
HarvardX/CS50x/2012,MHxPC130488225,1,1,0,0,Spain,NA,NA,NA,0.0,2013-07-01,2013-07-01,5,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130039152,1,0,0,0,Spain,NA,NA,NA,0,2012-07-25,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130572222,1,0,0,0,Spain,NA,NA,NA,0,2012-08-13,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130428131,1,1,0,0,Spain,NA,NA,NA,0,2012-09-19,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130424751,1,1,0,0,Spain,NA,NA,NA,0,2012-11-22,2013-05-04,10,2,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130569920,1,1,0,0,Spain,NA,NA,NA,0,2013-03-18,2013-03-18,9,1,,2.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130061370,1,1,0,0,Spain,NA,NA,NA,0,2012-12-21,2013-05-11,109,7,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130485901,1,0,0,0,Spain,NA,NA,NA,0.0,2012-08-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130328298,1,1,0,0,Spain,NA,NA,NA,0,2012-09-30,,,,,5.0,0,,1
HarvardX/CS50x/2012,MHxPC130155971,1,1,0,0,Spain,NA,NA,NA,0,2012-10-10,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130474211,1,1,0,0,Spain,NA,NA,NA,0,2012-07-25,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130429359,1,1,0,0,Spain,NA,NA,NA,0,2012-12-21,2013-08-30,4,1,,1.0,0,,
HarvardX/PH207x/2012_Fall,MHxPC130550782,1,0,0,0,Spain,NA,NA,NA,0,2012-08-16,2012-08-16,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130383194,1,0,0,0,Spain,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130434447,1,0,0,0,Spain,NA,NA,NA,0,2013-02-05,2013-11-17,,,,,0,,
HarvardX/CS50x/2012,MHxPC130187808,1,1,1,0,Spain,NA,NA,NA,0,2012-09-16,2013-05-09,23,4,,6.0,0,,
HarvardX/CS50x/2012,MHxPC130138810,1,1,0,0,Spain,NA,NA,NA,0,2012-08-19,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130119851,1,0,0,0,Spain,NA,NA,NA,0,2012-08-25,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130294671,1,1,0,0,Spain,NA,NA,NA,0,2012-08-17,2013-03-15,1,1,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130415684,1,1,1,0,Spain,NA,NA,NA,0,2012-08-02,2013-07-21,1,1,,8.0,0,,
HarvardX/CS50x/2012,MHxPC130590058,1,0,0,0,Spain,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130329497,1,1,0,0,Spain,NA,NA,NA,,2013-02-19,2013-04-22,12,2,,1.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130329497,1,0,0,0,Spain,NA,NA,NA,,2013-01-12,2013-02-17,1,1,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130329497,1,0,0,0,Spain,NA,NA,NA,,2012-08-16,2013-02-17,3,2,,,0,,
HarvardX/CS50x/2012,MHxPC130517045,1,0,0,0,Spain,NA,NA,NA,0.0,2012-08-18,,,1,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130517045,1,0,0,0,Spain,NA,NA,NA,0,2012-09-15,2012-09-15,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130492935,1,0,0,0,Spain,NA,NA,NA,0,2012-09-04,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130247381,1,1,0,0,Spain,NA,NA,NA,0,2012-07-27,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130211438,1,1,0,0,Spain,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130116784,1,0,0,0,Spain,NA,NA,NA,0.0,2013-07-01,2013-07-01,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130267821,1,0,0,0,Spain,NA,NA,NA,0,2012-08-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130015306,1,1,1,0,Spain,NA,NA,NA,0,2012-07-24,2013-03-01,66,9,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130596755,1,1,0,0,Spain,NA,NA,NA,0,2012-09-20,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130561765,1,1,0,0,Spain,NA,NA,NA,0,2012-10-19,,,,,3.0,0,,1
HarvardX/CS50x/2012,MHxPC130039986,1,0,0,0,Spain,NA,NA,NA,0,2012-07-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130227994,1,1,0,0,Spain,NA,NA,NA,0,2012-08-25,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130289376,1,1,0,0,Spain,NA,NA,NA,0,2012-08-17,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130564613,1,1,1,1,Spain,NA,NA,NA,1,2012-10-26,2013-05-10,65,19,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130380860,1,0,0,0,Spain,NA,NA,NA,0,2012-09-19,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130250059,1,1,0,0,Spain,NA,NA,NA,0,2012-08-27,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130508987,1,0,0,0,Spain,NA,NA,NA,0,2013-01-23,2013-02-12,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130142047,1,1,0,0,Spain,NA,NA,NA,0.0,2013-07-12,2013-07-12,8,1,,1.0,0,,
HarvardX/CB22x/2013_Spring,MHxPC130548032,1,1,0,0,Spain,NA,NA,NA,0,2012-12-21,2013-03-16,40,3,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130392243,1,1,0,0,Spain,NA,NA,NA,0,2012-08-26,,,,,1.0,0,,1
HarvardX/PH278x/2013_Spring,MHxPC130160687,1,0,0,0,Spain,NA,NA,NA,0,2013-01-24,2013-05-29,1,1,,,0,,
HarvardX/CS50x/2012,MHxPC130067970,1,1,0,0,Spain,NA,NA,NA,0,2012-09-06,,,,,5.0,0,,1
HarvardX/CB22x/2013_Spring,MHxPC130313526,1,1,0,0,Spain,NA,NA,NA,0,2013-08-23,2013-09-07,139,7,,1.0,0,,
HarvardX/CS50x/2012,MHxPC130313526,1,1,1,1,Spain,NA,NA,NA,1,2012-07-29,2013-06-15,45,20,,12.0,0,,
HarvardX/ER22x/2013_Spring,MHxPC130069374,1,1,0,0,Spain,NA,NA,NA,0,2013-04-26,2013-04-26,84,1,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130025365,1,0,0,0,Spain,NA,NA,NA,0,2012-08-26,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130385624,1,0,0,0,Spain,NA,NA,NA,0,2012-09-10,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130325489,1,0,0,0,Spain,NA,NA,NA,0,2012-10-17,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130404328,1,0,0,0,Spain,NA,NA,NA,0.0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130456128,1,1,0,0,Spain,NA,NA,NA,0,2012-10-04,2013-07-02,62,5,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130258673,1,1,0,0,Spain,NA,NA,NA,0,2012-08-27,2013-07-28,5,1,,1.0,0,,
