course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130126666,1,0,0,0,Ukraine,NA,NA,NA,0,2012-07-25,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130307308,1,0,0,0,Ukraine,NA,NA,NA,0,2012-09-01,2013-03-17,1,1,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130307308,1,0,0,0,Ukraine,NA,NA,NA,0,2012-09-01,2012-09-01,1,1,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130585240,1,1,1,0,Ukraine,NA,NA,NA,0.18,2012-08-19,2013-01-10,2030,28,446,8.0,0,,
HarvardX/CS50x/2012,MHxPC130170368,1,1,0,0,Ukraine,NA,NA,NA,0,2012-11-23,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130041265,1,1,0,0,Ukraine,NA,NA,NA,0,2012-09-25,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130591769,1,1,1,0,Ukraine,NA,NA,NA,0,2013-08-27,2013-05-24,51,3,,8.0,0,,
HarvardX/CS50x/2012,MHxPC130414591,1,0,0,0,Ukraine,NA,NA,NA,0,2012-09-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130184766,1,0,0,0,Ukraine,NA,NA,NA,0,2012-07-26,,,3,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130184766,1,1,0,0,Ukraine,NA,NA,NA,0,2012-07-26,2012-10-21,89,3,12,2.0,0,,
HarvardX/CS50x/2012,MHxPC130097098,1,0,0,0,Ukraine,NA,NA,NA,0,2012-08-16,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130365566,1,1,0,0,Ukraine,NA,NA,NA,0,2013-01-09,,,,,2.0,0,,1
HarvardX/CS50x/2012,MHxPC130185993,1,1,1,0,Ukraine,NA,NA,NA,0,2012-10-26,2013-02-23,13,2,,12.0,0,,
HarvardX/CS50x/2012,MHxPC130495305,1,0,0,0,Ukraine,NA,NA,NA,0,2012-08-15,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130346700,1,0,0,0,Ukraine,NA,NA,NA,0,2012-07-28,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130228707,1,1,0,0,Ukraine,NA,NA,NA,0,2012-07-28,2013-03-20,1,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130406332,1,1,0,0,Ukraine,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130382204,1,1,0,0,Ukraine,NA,NA,NA,0,2012-11-30,,,,,5.0,0,,1
HarvardX/CS50x/2012,MHxPC130415745,1,1,0,0,Ukraine,NA,NA,NA,0.0,2013-06-13,2013-07-26,20,5,,3.0,0,,
HarvardX/CS50x/2012,MHxPC130388819,1,1,0,0,Ukraine,NA,NA,NA,0,2012-08-16,,,,,1.0,0,,1
HarvardX/CS50x/2012,MHxPC130280122,1,0,0,0,Ukraine,NA,NA,NA,0,2012-08-17,,,,,,0,,
