course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
HarvardX/CS50x/2012,MHxPC130409919,1,1,1,0,United Kingdom,NA,NA,NA,0,2012-10-18,,,,,6.0,0,,1
HarvardX/CS50x/2012,MHxPC130321846,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-08-17,,,,,,0,,
HarvardX/CB22x/2013_Spring,MHxPC130505428,1,1,0,0,United Kingdom,NA,NA,NA,0,2012-12-20,2013-07-21,39,2,,4.0,0,,
HarvardX/CS50x/2012,MHxPC130505428,1,1,0,0,United Kingdom,NA,NA,NA,0,2012-07-25,,,2,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130505428,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-12-20,,,2,,,0,,1
HarvardX/PH207x/2012_Fall,MHxPC130505428,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-07-25,2012-07-25,1,1,,,0,,
HarvardX/PH278x/2013_Spring,MHxPC130505428,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-12-20,2013-06-11,2,2,,,0,,
HarvardX/PH207x/2012_Fall,MHxPC130382538,1,1,0,0,United Kingdom,NA,NA,NA,0.04,2012-07-25,2012-10-28,346,7,40,3.0,0,,
HarvardX/CS50x/2012,MHxPC130311088,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-10-04,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130059662,1,1,0,0,United Kingdom,NA,NA,NA,0,2012-10-19,,,,,1.0,0,,1
HarvardX/ER22x/2013_Spring,MHxPC130171446,1,1,0,0,United Kingdom,NA,NA,NA,0,2013-04-06,2013-04-06,9,1,,2.0,0,,
HarvardX/CS50x/2012,MHxPC130321273,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-07-24,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130322204,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-10-18,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130590983,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-09-20,,,,,,0,,
HarvardX/CS50x/2012,MHxPC130101457,1,0,0,0,United Kingdom,NA,NA,NA,0,2012-08-18,,,,,,0,,
