course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
MITx/3.091x/2012_Fall,MHxPC130275857,1,1,1,0,United States,NA,NA,NA,0,2012-09-17,2013-05-22,794,16,44,11.0,0,,
MITx/3.091x/2012_Fall,MHxPC130024894,1,1,1,0,United States,NA,NA,NA,0,2012-07-24,2013-03-25,436,36,16,11.0,0,,
MITx/3.091x/2012_Fall,MHxPC130080986,1,1,0,0,United States,NA,NA,NA,0,2012-11-11,2012-11-12,47,4,1,2.0,0,,
MITx/3.091x/2012_Fall,MHxPC130591553,1,0,0,0,United States,NA,NA,NA,0,2012-08-29,2012-08-29,1,1,,,0,,
MITx/3.091x/2012_Fall,MHxPC130197887,1,1,0,0,United States,NA,NA,NA,0,2012-07-28,2013-02-06,13,8,1,1.0,0,,
MITx/3.091x/2012_Fall,MHxPC130401312,1,0,0,0,United States,NA,NA,NA,0,2012-08-17,2012-08-18,1,1,,,0,,
MITx/3.091x/2012_Fall,MHxPC130314249,1,0,0,0,United States,NA,NA,NA,0,2012-07-24,2012-07-24,1,1,,,0,,
MITx/3.091x/2012_Fall,MHxPC130283611,1,1,0,0,United States,NA,NA,NA,0,2012-10-17,2013-06-23,84,3,14,1.0,0,,
MITx/3.091x/2012_Fall,MHxPC130571193,1,1,0,0,United States,NA,NA,NA,0,2012-09-24,2013-01-09,383,11,37,3.0,0,,
MITx/3.091x/2012_Fall,MHxPC130211898,1,0,0,0,United States,NA,NA,NA,0,2012-08-16,2012-08-16,2,1,,,0,,
MITx/3.091x/2012_Fall,MHxPC130251733,1,0,0,0,Poland,NA,NA,NA,0,2012-09-11,2013-07-28,70,9,,,0,,
MITx/3.091x/2012_Fall,MHxPC130478854,1,0,0,0,United States,NA,NA,NA,0,2012-08-19,2012-08-19,1,1,,,0,,
MITx/3.091x/2012_Fall,MHxPC130148090,1,1,0,0,India,NA,NA,NA,0,2012-10-23,2012-10-23,25,1,2,1.0,0,,
