Country,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1.0,0.66,0.07,0.03,0.03,400.23,5.51,102.31,3.67,0.01
Other South Asia,1.0,0.65,0.07,0.03,0.04,343.16,5.07,100.44,3.87,0.0
Bangladesh,1.0,0.59,0.04,0.01,0.02,194.71,3.68,50.23,3.12,0.0
Other South America,1.0,0.69,0.07,0.03,0.04,497.96,5.87,137.11,3.65,0.01
France,1.0,0.7,0.09,0.04,0.05,448.56,5.92,129.74,4.22,0.0
Other East Asia,1.0,0.66,0.05,0.02,0.03,237.16,4.12,83.12,3.59,0.0
Other Oceania,1.0,0.68,0.07,0.01,0.02,223.14,4.54,98.38,3.17,0.0
Other Europe,1.0,0.72,0.1,0.05,0.06,601.48,7.14,143.14,4.49,0.02
Nigeria,1.0,0.62,0.06,0.02,0.03,259.13,4.86,101.87,3.18,0.0
"Other North & Central Amer., Caribbean",1.0,0.69,0.07,0.04,0.05,424.46,5.79,98.55,3.49,0.0
Australia,1.0,0.61,0.07,0.03,0.04,371.6,5.3,105.88,3.75,0.0
Germany,1.0,0.72,0.1,0.06,0.06,573.85,6.85,128.94,4.66,0.0
Russian Federation,1.0,0.67,0.11,0.06,0.07,915.88,10.06,221.9,4.73,0.01
China,1.0,0.66,0.03,0.01,0.02,144.86,3.33,64.26,2.9,0.0
Philippines,1.0,0.62,0.04,0.02,0.02,233.93,4.01,66.34,3.02,0.0
Spain,1.0,0.74,0.14,0.08,0.1,1042.69,9.92,210.12,5.0,0.01
Ukraine,1.0,0.72,0.11,0.05,0.06,786.05,9.53,180.54,4.58,0.0
Poland,1.0,0.82,0.13,0.08,0.09,1040.28,10.04,188.49,5.0,0.0
Indonesia,1.0,0.6,0.07,0.03,0.04,310.71,4.54,67.54,3.73,0.0
United States,1.0,0.64,0.05,0.02,0.03,404.1,5.52,102.37,3.49,0.04
Morocco,1.0,0.67,0.03,0.01,0.01,114.08,2.72,38.84,2.86,0.0
Unknown/Other,1.0,0.39,0.01,0.0,0.0,249.8,4.35,85.33,1.84,0.0
Other Africa,1.0,0.63,0.07,0.03,0.03,356.62,5.09,145.33,3.52,0.01
Brazil,1.0,0.65,0.05,0.03,0.03,353.12,5.12,100.98,3.6,0.01
Pakistan,1.0,0.58,0.04,0.01,0.02,167.59,3.58,43.76,3.03,0.01
Portugal,1.0,0.69,0.1,0.05,0.06,650.25,7.33,167.39,4.3,0.0
Mexico,1.0,0.7,0.07,0.03,0.04,479.72,6.09,114.9,3.57,0.01
Egypt,1.0,0.57,0.04,0.01,0.02,261.21,4.22,118.12,3.15,0.0
India,1.0,0.67,0.08,0.04,0.05,392.4,5.36,93.92,3.98,0.04
Other Middle East/Central Asia,1.0,0.62,0.05,0.02,0.03,254.61,4.28,81.26,3.45,0.0
United Kingdom,1.0,0.68,0.08,0.04,0.05,485.3,6.2,114.24,3.96,0.02
Colombia,1.0,0.69,0.09,0.04,0.06,679.12,7.22,159.33,4.07,0.02
Greece,1.0,0.7,0.1,0.06,0.07,588.67,7.82,176.28,5.01,0.01
Japan,1.0,0.73,0.05,0.02,0.02,257.94,4.51,83.69,3.54,0.0
