Country,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1.0,0.58,0.01,0.0,0.01,84.81,4.19,0.0,2.57,0.0
Other South Asia,1.0,0.56,0.02,0.02,0.02,140.23,3.62,0.0,3.06,0.0
Bangladesh,1.0,0.51,0.08,0.03,0.05,162.75,3.22,0.0,4.89,0.0
Other South America,1.0,0.6,0.02,0.02,0.02,106.78,3.9,0.0,3.03,0.0
France,1.0,0.65,0.01,0.01,0.01,101.4,3.37,0.0,2.97,0.0
Other East Asia,1.0,0.66,0.01,0.01,0.01,90.83,3.06,0.0,2.78,0.0
Other Oceania,1.0,0.83,0.0,0.0,0.01,228.1,8.5,0.0,2.4,0.0
Other Europe,1.0,0.64,0.02,0.02,0.02,128.62,4.19,0.0,3.18,0.0
Nigeria,1.0,0.5,0.0,0.0,0.01,35.65,2.63,0.0,2.07,0.0
"Other North & Central Amer., Caribbean",1.0,0.56,0.02,0.01,0.02,102.62,4.61,0.0,3.09,0.0
Australia,1.0,0.58,0.02,0.01,0.01,151.34,4.51,0.0,3.13,0.0
Germany,1.0,0.69,0.02,0.01,0.02,121.22,4.02,0.0,3.32,0.0
Russian Federation,1.0,0.55,0.01,0.01,0.01,67.1,3.18,0.0,2.68,0.0
China,1.0,0.67,0.01,0.01,0.01,54.41,2.61,0.0,2.37,0.0
Philippines,1.0,0.56,0.01,0.0,0.01,54.8,3.07,0.0,2.16,0.0
Spain,1.0,0.66,0.02,0.02,0.03,176.12,5.17,0.0,3.46,0.0
Ukraine,1.0,0.6,0.02,0.02,0.03,141.92,4.69,0.0,3.6,0.0
Poland,1.0,0.63,0.02,0.02,0.03,172.2,3.66,0.0,3.44,0.0
Indonesia,1.0,0.5,0.01,0.01,0.02,83.5,3.02,0.0,2.9,0.0
United States,1.0,0.58,0.01,0.01,0.01,132.56,4.38,0.0,3.07,0.01
Morocco,1.0,0.57,0.0,0.0,0.0,37.44,2.2,0.0,2.21,0.0
Unknown/Other,1.0,0.03,0.0,0.0,0.0,140.44,4.26,0.0,2.62,0.0
Other Africa,1.0,0.57,0.02,0.01,0.01,81.28,3.4,0.0,2.69,0.0
Brazil,1.0,0.61,0.03,0.02,0.03,149.27,4.21,0.0,3.5,0.0
Pakistan,1.0,0.35,0.05,0.05,0.04,178.52,4.46,0.0,5.18,0.0
Portugal,1.0,0.54,0.07,0.05,0.06,293.67,7.13,0.0,5.32,0.0
Mexico,1.0,0.59,0.02,0.01,0.02,154.35,4.49,0.0,2.79,0.0
Egypt,1.0,0.51,0.02,0.02,0.01,50.32,2.57,0.0,2.57,0.0
India,1.0,0.56,0.02,0.02,0.02,86.57,3.49,0.0,3.02,0.01
Other Middle East/Central Asia,1.0,0.56,0.01,0.01,0.01,156.78,3.67,0.0,3.03,0.0
United Kingdom,1.0,0.62,0.02,0.01,0.02,153.32,4.9,0.0,3.24,0.0
Colombia,1.0,0.67,0.01,0.01,0.01,140.17,4.64,0.0,2.62,0.0
Greece,1.0,0.67,0.06,0.06,0.06,281.58,6.16,0.0,4.65,0.02
Japan,1.0,0.66,0.02,0.01,0.01,134.93,3.86,0.0,2.96,0.0
