Country,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1.0,0.64,0.06,0.05,0.06,168.6,4.46,0.0,6.31,0.02
Other South Asia,1.0,0.67,0.08,0.06,0.07,186.58,4.84,0.0,6.91,0.01
Bangladesh,1.0,0.49,0.06,0.02,0.03,129.58,4.31,0.0,6.88,0.0
Other South America,1.0,0.63,0.06,0.04,0.05,137.82,4.36,0.0,5.72,0.0
France,1.0,0.71,0.1,0.06,0.06,188.31,4.59,0.0,7.38,0.0
Other East Asia,1.0,0.65,0.03,0.03,0.03,103.1,3.3,0.0,4.61,0.01
Other Oceania,1.0,0.42,0.04,0.04,0.04,160.26,4.85,0.0,7.18,0.0
Other Europe,1.0,0.7,0.11,0.08,0.09,246.48,5.92,0.0,8.09,0.03
Nigeria,1.0,0.49,0.06,0.03,0.04,125.91,3.94,0.0,6.3,0.02
"Other North & Central Amer., Caribbean",1.0,0.57,0.05,0.06,0.07,134.3,4.13,0.0,5.61,0.0
Australia,1.0,0.64,0.07,0.05,0.06,150.95,4.24,0.0,6.17,0.0
China,1.0,0.63,0.02,0.02,0.02,59.47,2.74,0.0,3.42,0.0
Russian Federation,1.0,0.66,0.09,0.06,0.07,219.08,6.19,0.0,7.27,0.0
Germany,1.0,0.77,0.13,0.09,0.1,259.04,6.34,0.0,8.56,0.01
Philippines,1.0,0.58,0.05,0.03,0.05,152.54,4.13,0.0,6.31,0.03
Spain,1.0,0.69,0.09,0.06,0.07,217.77,5.83,0.0,6.86,0.01
Ukraine,1.0,0.66,0.06,0.05,0.06,216.87,6.82,0.0,6.7,0.0
Poland,1.0,0.73,0.08,0.06,0.07,178.73,5.31,0.0,6.54,0.02
Indonesia,1.0,0.53,0.07,0.02,0.03,151.87,3.57,0.0,7.16,0.0
United States,1.0,0.58,0.06,0.03,0.04,161.82,4.8,0.0,6.24,0.1
Morocco,1.0,0.63,0.04,0.01,0.03,117.26,3.02,0.0,4.85,0.0
Unknown/Other,1.0,0.02,0.0,0.0,0.0,183.98,4.47,0.0,6.86,0.0
Other Africa,1.0,0.54,0.05,0.05,0.06,140.4,4.35,0.0,5.98,0.0
Brazil,1.0,0.66,0.07,0.06,0.06,178.64,4.68,0.0,6.15,0.02
Pakistan,1.0,0.49,0.04,0.04,0.04,117.08,3.45,0.0,5.43,0.0
Portugal,1.0,0.65,0.08,0.06,0.07,259.83,6.5,0.0,7.68,0.0
Mexico,1.0,0.62,0.06,0.04,0.05,160.71,4.09,0.0,5.97,0.0
Egypt,1.0,0.6,0.07,0.05,0.06,151.41,5.96,0.0,6.48,0.0
India,1.0,0.64,0.07,0.05,0.07,171.52,4.67,0.0,6.61,0.12
Other Middle East/Central Asia,1.0,0.61,0.06,0.05,0.06,150.02,4.36,0.0,6.28,0.0
United Kingdom,1.0,0.63,0.08,0.06,0.06,183.19,4.8,0.0,6.91,0.03
Colombia,1.0,0.67,0.05,0.04,0.06,120.21,3.5,0.0,5.07,0.0
Greece,1.0,0.69,0.14,0.11,0.12,330.26,7.14,0.0,9.64,0.0
Japan,1.0,0.7,0.03,0.01,0.01,91.9,3.63,0.0,4.1,0.0
