Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.42,0.03,0.02,0.04,407.75,4.44,141.59,3.52,0.0
HarvardX/ER22x/2013_Spring,1.0,0.64,0.07,0.05,0.06,150.95,4.24,0.0,6.17,0.0
MITx/6.002x/2012_Fall,1.0,0.56,0.03,0.01,0.03,237.91,3.82,62.58,3.24,0.0
MITx/14.73x/2013_Spring,1.0,0.65,0.12,0.08,0.09,587.89,6.21,99.68,3.22,0.0
MITx/6.00x/2013_Spring,1.0,0.94,0.05,0.03,0.04,548.71,6.04,54.04,3.47,0.0
MITx/8.MReV/2013_Summer,1.0,0.76,0.03,0.03,0.03,688.06,6.0,30.0,4.87,0.0
MITx/3.091x/2013_Spring,1.0,0.95,0.05,0.03,0.03,512.31,5.38,105.24,3.29,0.0
MITx/2.01x/2013_Spring,1.0,0.73,0.13,0.0,0.05,291.4,6.27,38.0,2.75,0.0
HarvardX/PH278x/2013_Spring,1.0,0.42,0.03,0.02,0.03,145.18,4.73,28.36,2.46,0.0
MITx/6.002x/2013_Spring,1.0,0.35,0.04,0.01,0.02,313.57,4.03,112.38,4.5,0.0
HarvardX/CB22x/2013_Spring,1.0,0.58,0.02,0.01,0.01,151.34,4.51,0.0,3.13,0.0
HarvardX/CS50x/2012,1.0,0.62,0.09,0.01,0.01,41.16,4.31,0.0,2.98,0.0
MITx/6.00x/2012_Fall,1.0,0.53,0.05,0.03,0.04,509.87,6.24,104.31,3.76,0.0
MITx/7.00x/2013_Spring,1.0,0.62,0.06,0.03,0.04,546.09,6.82,112.92,3.58,0.0
HarvardX/PH207x/2012_Fall,1.0,0.57,0.11,0.05,0.08,671.09,6.46,210.35,4.72,0.0
MITx/8.02x/2013_Spring,1.0,0.65,0.05,0.02,0.03,486.96,5.93,76.96,3.73,0.0
