Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.61,0.11,0.09,0.09,1163.44,10.37,218.98,4.89,0.0
HarvardX/ER22x/2013_Spring,1.0,0.67,0.05,0.04,0.06,120.21,3.5,0.0,5.07,0.0
MITx/8.MReV/2013_Summer,1.0,0.78,0.04,0.02,0.03,514.85,6.57,8.5,5.11,0.0
MITx/6.002x/2012_Fall,1.0,0.74,0.13,0.05,0.08,756.37,8.64,134.08,5.01,0.02
MITx/14.73x/2013_Spring,1.0,0.69,0.16,0.12,0.13,964.21,8.2,175.85,3.97,0.0
MITx/6.00x/2013_Spring,1.0,0.95,0.05,0.03,0.04,832.21,7.3,111.78,3.84,0.07
MITx/7.00x/2013_Spring,1.0,0.64,0.08,0.04,0.04,579.42,7.21,103.71,4.48,0.05
MITx/3.091x/2013_Spring,1.0,0.95,0.0,0.0,0.02,285.0,4.03,33.31,2.73,0.0
MITx/2.01x/2013_Spring,1.0,0.72,0.14,0.05,0.07,689.52,8.49,97.49,3.93,0.0
HarvardX/PH278x/2013_Spring,1.0,0.46,0.03,0.02,0.03,255.3,5.49,96.39,2.34,0.0
MITx/6.002x/2013_Spring,1.0,0.54,0.08,0.04,0.06,669.06,6.57,158.32,4.78,0.0
HarvardX/CB22x/2013_Spring,1.0,0.67,0.01,0.01,0.01,140.17,4.64,0.0,2.62,0.0
HarvardX/CS50x/2012,1.0,0.7,0.09,0.01,0.01,41.44,4.92,0.0,3.0,0.0
MITx/6.00x/2012_Fall,1.0,0.68,0.06,0.04,0.04,841.46,8.61,143.09,3.84,0.06
HarvardX/PH207x/2012_Fall,1.0,0.67,0.12,0.06,0.1,739.6,6.25,208.07,4.36,0.0
MITx/8.02x/2013_Spring,1.0,0.74,0.09,0.04,0.05,1135.18,9.56,208.86,4.81,0.04
