Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.62,0.08,0.07,0.07,646.3,6.34,105.78,3.47,0.0
MITx/6.00x/2012_Fall,1.0,0.68,0.09,0.07,0.07,938.62,9.64,126.15,4.56,0.01
MITx/8.MReV/2013_Summer,1.0,0.85,0.04,0.04,0.04,438.77,4.43,6.25,4.57,0.0
MITx/6.002x/2012_Fall,1.0,0.73,0.09,0.04,0.06,703.16,7.09,176.62,4.52,0.0
MITx/14.73x/2013_Spring,1.0,0.73,0.17,0.14,0.14,905.1,7.53,118.39,3.78,0.0
MITx/6.00x/2013_Spring,1.0,0.96,0.06,0.03,0.05,695.97,6.87,81.24,3.95,0.0
MITx/7.00x/2013_Spring,1.0,0.71,0.1,0.04,0.05,746.05,7.9,146.43,4.46,0.02
MITx/3.091x/2013_Spring,1.0,0.96,0.0,0.0,0.01,315.07,4.78,56.05,3.0,0.0
MITx/2.01x/2013_Spring,1.0,0.76,0.13,0.07,0.07,808.06,7.63,136.91,3.81,0.0
HarvardX/PH278x/2013_Spring,1.0,0.53,0.06,0.05,0.05,245.46,4.96,48.8,2.94,0.0
MITx/6.002x/2013_Spring,1.0,0.56,0.03,0.02,0.02,357.71,4.92,81.74,3.94,0.0
HarvardX/CS50x/2012,1.0,0.74,0.15,0.03,0.03,57.58,5.72,0.0,3.63,0.0
HarvardX/CB22x/2013_Spring,1.0,0.69,0.02,0.01,0.02,121.22,4.02,0.0,3.32,0.0
HarvardX/ER22x/2013_Spring,1.0,0.77,0.13,0.09,0.1,259.04,6.34,0.0,8.56,0.01
HarvardX/PH207x/2012_Fall,1.0,0.68,0.17,0.1,0.15,1195.81,9.21,314.34,5.32,0.0
MITx/8.02x/2013_Spring,1.0,0.74,0.06,0.03,0.04,728.32,6.91,130.01,3.99,0.0
