Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/6.00x/2012_Fall,1.0,0.75,0.07,0.02,0.04,605.68,7.3,143.76,3.97,0.0
MITx/8.MReV/2013_Summer,1.0,0.75,0.04,0.04,0.14,450.38,3.79,63.0,4.37,0.0
MITx/6.002x/2012_Fall,1.0,0.63,0.09,0.04,0.15,528.16,5.46,135.29,4.24,0.0
MITx/14.73x/2013_Spring,1.0,0.72,0.07,0.02,0.03,335.82,3.99,61.77,2.5,0.0
MITx/6.00x/2013_Spring,1.0,0.96,0.03,0.01,0.02,316.08,4.8,43.62,3.06,0.0
HarvardX/CS50x/2012,1.0,0.73,0.11,0.02,0.02,37.32,3.94,0.0,2.8,0.0
MITx/3.091x/2013_Spring,1.0,0.98,0.0,0.0,0.01,170.76,3.36,44.05,2.38,0.0
MITx/2.01x/2013_Spring,1.0,0.67,0.13,0.08,0.3,967.09,7.67,71.5,3.56,0.0
HarvardX/PH278x/2013_Spring,1.0,0.52,0.02,0.01,0.01,89.08,2.59,24.56,2.17,0.0
MITx/6.002x/2013_Spring,1.0,0.58,0.04,0.0,0.02,356.24,6.13,37.71,4.21,0.0
HarvardX/CB22x/2013_Spring,1.0,0.66,0.02,0.01,0.01,134.93,3.86,0.0,2.96,0.0
MITx/3.091x/2012_Fall,1.0,0.29,0.14,0.0,0.0,514.43,7.86,158.0,6.5,0.0
HarvardX/ER22x/2013_Spring,1.0,0.7,0.03,0.01,0.01,91.9,3.63,0.0,4.1,0.0
MITx/7.00x/2013_Spring,1.0,0.69,0.07,0.06,0.05,464.92,6.26,84.35,3.47,0.0
HarvardX/PH207x/2012_Fall,1.0,0.74,0.13,0.05,0.09,806.82,8.4,219.8,4.39,0.0
MITx/8.02x/2013_Spring,1.0,0.73,0.07,0.03,0.04,656.69,6.8,85.19,3.69,0.0
