Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.33,0.0,0.0,0.0,26.82,1.5,8.38,2.17,0.0
MITx/6.00x/2012_Fall,1.0,0.61,0.01,0.0,0.0,91.97,2.19,28.53,2.39,0.0
MITx/6.002x/2012_Fall,1.0,0.59,0.03,0.01,0.02,174.05,2.97,61.7,2.94,0.0
MITx/14.73x/2013_Spring,1.0,0.51,0.04,0.0,0.04,229.57,4.1,57.71,2.3,0.0
MITx/6.00x/2013_Spring,1.0,0.95,0.01,0.0,0.01,110.76,2.43,24.69,2.54,0.0
MITx/8.MReV/2013_Summer,1.0,0.6,0.0,0.0,0.0,153.93,3.21,6.0,3.94,0.0
MITx/3.091x/2013_Spring,1.0,0.83,0.06,0.06,0.07,438.07,4.18,36.0,3.8,0.0
MITx/2.01x/2013_Spring,1.0,0.2,0.2,0.2,0.13,704.8,11.6,435.0,12.0,0.0
HarvardX/PH278x/2013_Spring,1.0,0.35,0.01,0.01,0.01,90.86,2.79,20.63,2.03,0.0
MITx/6.002x/2013_Spring,1.0,0.46,0.03,0.02,0.02,186.55,3.98,66.2,3.62,0.0
HarvardX/CB22x/2013_Spring,1.0,0.57,0.0,0.0,0.0,37.44,2.2,0.0,2.21,0.0
HarvardX/CS50x/2012,1.0,0.71,0.1,0.01,0.01,23.29,2.74,0.0,3.02,0.0
HarvardX/ER22x/2013_Spring,1.0,0.63,0.04,0.01,0.03,117.26,3.02,0.0,4.85,0.0
MITx/7.00x/2013_Spring,1.0,0.53,0.0,0.0,0.0,27.96,1.41,9.75,1.5,0.0
HarvardX/PH207x/2012_Fall,1.0,0.44,0.06,0.0,0.05,214.0,2.79,38.5,3.43,0.0
MITx/8.02x/2013_Spring,1.0,0.53,0.02,0.01,0.01,260.57,3.83,66.79,3.31,0.0
