Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.5,0.04,0.01,0.03,341.23,3.17,54.58,2.72,0.0
HarvardX/ER22x/2013_Spring,1.0,0.65,0.03,0.03,0.03,103.1,3.3,0.0,4.61,0.01
MITx/6.002x/2012_Fall,1.0,0.69,0.05,0.02,0.04,397.59,5.31,131.65,3.35,0.0
MITx/14.73x/2013_Spring,1.0,0.68,0.06,0.04,0.04,320.25,3.82,56.42,2.43,0.0
MITx/6.00x/2013_Spring,1.0,0.96,0.04,0.02,0.02,403.74,5.31,62.61,3.26,0.0
MITx/8.MReV/2013_Summer,1.0,0.75,0.05,0.0,0.04,568.01,5.0,11.6,6.45,0.0
MITx/3.091x/2013_Spring,1.0,0.92,0.06,0.02,0.02,572.11,4.98,134.03,3.85,0.0
MITx/2.01x/2013_Spring,1.0,0.5,0.09,0.0,0.02,214.07,3.29,53.19,3.0,0.0
HarvardX/PH278x/2013_Spring,1.0,0.41,0.04,0.02,0.03,130.59,3.3,34.81,2.65,0.0
MITx/6.002x/2013_Spring,1.0,0.48,0.01,0.01,0.01,273.9,4.22,73.73,3.44,0.0
HarvardX/CB22x/2013_Spring,1.0,0.66,0.01,0.01,0.01,90.83,3.06,0.0,2.78,0.0
HarvardX/CS50x/2012,1.0,0.71,0.11,0.01,0.01,43.08,4.09,0.0,3.14,0.0
MITx/6.00x/2012_Fall,1.0,0.61,0.04,0.02,0.02,418.95,5.4,110.1,3.44,0.0
MITx/7.00x/2013_Spring,1.0,0.58,0.08,0.04,0.04,499.79,6.33,129.8,3.92,0.0
HarvardX/PH207x/2012_Fall,1.0,0.55,0.05,0.01,0.03,382.12,4.93,158.57,4.11,0.0
MITx/8.02x/2013_Spring,1.0,0.67,0.03,0.01,0.01,303.14,4.3,67.85,3.25,0.0
