Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/6.00x/2012_Fall,1.0,0.73,0.05,0.0,0.02,456.18,6.91,61.87,3.8,0.0
MITx/6.002x/2012_Fall,1.0,0.67,0.08,0.08,0.07,839.25,8.83,596.83,4.67,0.0
MITx/14.73x/2013_Spring,1.0,0.64,0.09,0.0,0.08,628.75,4.78,62.83,2.43,0.0
MITx/6.00x/2013_Spring,1.0,0.94,0.03,0.03,0.02,433.81,5.48,59.73,3.25,0.0
HarvardX/PH278x/2013_Spring,1.0,0.18,0.06,0.03,0.03,143.4,4.13,68.2,3.67,0.0
MITx/6.002x/2013_Spring,1.0,0.8,0.0,0.0,0.0,35.67,4.1,5.33,2.38,0.0
HarvardX/CB22x/2013_Spring,1.0,0.83,0.0,0.0,0.01,228.1,8.5,0.0,2.4,0.0
HarvardX/CS50x/2012,1.0,0.75,0.11,0.01,0.01,26.26,3.03,0.0,2.85,0.0
HarvardX/ER22x/2013_Spring,1.0,0.42,0.04,0.04,0.04,160.26,4.85,0.0,7.18,0.0
HarvardX/PH207x/2012_Fall,1.0,0.6,0.0,0.0,0.0,78.0,1.6,21.33,1.67,0.0
MITx/8.02x/2013_Spring,1.0,0.54,0.0,0.0,0.0,147.38,3.62,25.17,2.88,0.0
