Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.61,0.06,0.05,0.05,556.0,5.82,119.48,3.35,0.0
HarvardX/ER22x/2013_Spring,1.0,0.63,0.06,0.04,0.05,137.82,4.36,0.0,5.72,0.0
MITx/6.002x/2012_Fall,1.0,0.69,0.07,0.03,0.06,527.39,6.75,131.59,4.13,0.02
MITx/14.73x/2013_Spring,1.0,0.68,0.12,0.08,0.09,714.54,6.7,147.06,3.22,0.0
MITx/6.00x/2013_Spring,1.0,0.96,0.05,0.01,0.03,493.48,6.02,78.59,3.33,0.03
MITx/8.MReV/2013_Summer,1.0,0.78,0.06,0.04,0.05,702.71,5.9,16.92,6.09,0.0
MITx/3.091x/2013_Spring,1.0,0.96,0.0,0.0,0.01,179.45,3.3,35.38,2.5,0.0
MITx/2.01x/2013_Spring,1.0,0.72,0.11,0.04,0.05,572.35,6.13,104.11,3.45,0.0
HarvardX/PH278x/2013_Spring,1.0,0.47,0.03,0.01,0.02,158.26,4.08,40.3,2.43,0.0
MITx/6.002x/2013_Spring,1.0,0.51,0.03,0.03,0.03,324.91,4.88,85.04,3.8,0.0
HarvardX/CB22x/2013_Spring,1.0,0.6,0.02,0.02,0.02,106.78,3.9,0.0,3.03,0.0
HarvardX/CS50x/2012,1.0,0.67,0.09,0.01,0.01,35.43,3.96,0.0,2.84,0.0
MITx/6.00x/2012_Fall,1.0,0.73,0.09,0.05,0.06,937.74,8.17,237.85,4.01,0.03
MITx/7.00x/2013_Spring,1.0,0.64,0.04,0.03,0.03,358.49,5.07,78.86,2.94,0.02
HarvardX/PH207x/2012_Fall,1.0,0.65,0.1,0.05,0.07,604.9,5.97,180.86,3.98,0.0
MITx/8.02x/2013_Spring,1.0,0.68,0.04,0.02,0.03,622.13,6.35,102.48,3.77,0.0
