Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.57,0.07,0.03,0.05,416.18,4.98,76.32,3.24,0.0
HarvardX/ER22x/2013_Spring,1.0,0.58,0.05,0.03,0.05,152.54,4.13,0.0,6.31,0.03
MITx/8.MReV/2013_Summer,1.0,0.72,0.02,0.0,0.02,190.71,2.39,2.0,3.83,0.0
MITx/6.002x/2012_Fall,1.0,0.65,0.06,0.03,0.05,392.72,5.28,77.82,3.8,0.0
MITx/14.73x/2013_Spring,1.0,0.61,0.04,0.01,0.02,226.74,4.0,52.95,2.1,0.0
MITx/6.00x/2013_Spring,1.0,0.94,0.01,0.01,0.01,245.77,3.32,38.39,2.55,0.0
MITx/7.00x/2013_Spring,1.0,0.55,0.03,0.02,0.02,265.77,3.9,62.39,2.8,0.0
MITx/3.091x/2013_Spring,1.0,1.0,0.0,0.0,0.01,50.67,2.42,17.88,2.0,0.0
MITx/2.01x/2013_Spring,1.0,0.6,0.1,0.0,0.02,234.7,5.4,37.67,3.33,0.0
HarvardX/PH278x/2013_Spring,1.0,0.45,0.02,0.01,0.03,167.81,3.71,33.57,2.42,0.0
MITx/6.002x/2013_Spring,1.0,0.38,0.04,0.03,0.03,292.18,3.97,92.57,4.57,0.0
HarvardX/CB22x/2013_Spring,1.0,0.56,0.01,0.0,0.01,54.8,3.07,0.0,2.16,0.0
HarvardX/CS50x/2012,1.0,0.65,0.05,0.01,0.01,31.29,3.58,0.0,2.36,0.0
MITx/6.00x/2012_Fall,1.0,0.63,0.03,0.01,0.02,328.29,4.47,80.49,2.8,0.0
HarvardX/PH207x/2012_Fall,1.0,0.53,0.07,0.03,0.05,417.13,4.62,96.88,3.57,0.0
MITx/8.02x/2013_Spring,1.0,0.59,0.04,0.01,0.02,341.43,4.3,68.99,2.96,0.0
