Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/6.00x/2012_Fall,1.0,0.8,0.19,0.15,0.15,1766.37,16.63,216.48,6.09,0.02
MITx/8.MReV/2013_Summer,1.0,0.64,0.03,0.01,0.03,399.4,5.08,16.67,5.22,0.0
MITx/6.002x/2012_Fall,1.0,0.85,0.14,0.09,0.11,1233.18,10.99,272.45,4.77,0.0
MITx/14.73x/2013_Spring,1.0,0.69,0.14,0.08,0.09,614.03,5.78,62.43,3.24,0.0
HarvardX/CB22x/2013_Spring,1.0,0.63,0.02,0.02,0.03,172.2,3.66,0.0,3.44,0.0
MITx/6.00x/2013_Spring,1.0,0.98,0.13,0.08,0.09,1248.25,10.8,122.96,4.75,0.0
MITx/7.00x/2013_Spring,1.0,0.71,0.12,0.1,0.1,1038.38,9.97,253.4,5.09,0.0
MITx/3.091x/2013_Spring,1.0,1.0,0.11,0.14,0.23,1284.76,11.43,279.05,5.48,0.0
MITx/2.01x/2013_Spring,1.0,0.81,0.21,0.1,0.11,803.1,10.68,111.09,4.45,0.0
HarvardX/PH278x/2013_Spring,1.0,0.46,0.03,0.02,0.04,137.12,3.81,24.75,2.57,0.0
MITx/6.002x/2013_Spring,1.0,0.66,0.14,0.13,0.12,1075.81,10.3,232.08,6.44,0.0
HarvardX/CS50x/2012,1.0,0.76,0.17,0.02,0.02,52.47,4.97,0.0,3.74,0.0
MITx/3.091x/2012_Fall,1.0,0.75,0.24,0.21,0.21,2043.41,13.69,277.53,6.98,0.0
HarvardX/ER22x/2013_Spring,1.0,0.73,0.08,0.06,0.07,178.73,5.31,0.0,6.54,0.02
HarvardX/PH207x/2012_Fall,1.0,0.73,0.18,0.12,0.17,1752.59,12.77,481.57,5.88,0.0
MITx/8.02x/2013_Spring,1.0,0.8,0.09,0.06,0.07,1233.73,10.38,213.33,4.94,0.0
