Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.49,0.13,0.11,0.11,1159.48,9.59,264.5,5.56,0.0
HarvardX/ER22x/2013_Spring,1.0,0.66,0.09,0.06,0.07,219.08,6.19,0.0,7.27,0.0
MITx/6.002x/2012_Fall,1.0,0.68,0.15,0.1,0.13,1334.13,13.06,354.23,5.91,0.0
MITx/14.73x/2013_Spring,1.0,0.49,0.1,0.08,0.08,631.51,6.86,227.44,3.74,0.0
MITx/6.00x/2013_Spring,1.0,0.96,0.12,0.08,0.1,1283.97,12.41,164.57,4.94,0.01
MITx/8.MReV/2013_Summer,1.0,0.73,0.04,0.04,0.05,538.07,6.08,66.25,4.62,0.0
MITx/3.091x/2013_Spring,1.0,0.98,0.04,0.05,0.06,821.2,8.0,169.32,4.78,0.0
MITx/2.01x/2013_Spring,1.0,0.66,0.13,0.08,0.1,940.88,9.01,205.33,3.79,0.0
HarvardX/PH278x/2013_Spring,1.0,0.47,0.02,0.01,0.02,169.47,4.56,35.02,2.14,0.0
MITx/6.002x/2013_Spring,1.0,0.58,0.09,0.07,0.08,938.5,9.82,286.89,5.27,0.0
HarvardX/CB22x/2013_Spring,1.0,0.55,0.01,0.01,0.01,67.1,3.18,0.0,2.68,0.0
HarvardX/CS50x/2012,1.0,0.62,0.11,0.02,0.02,46.44,5.38,0.0,3.25,0.0
MITx/6.00x/2012_Fall,1.0,0.66,0.12,0.08,0.08,1135.98,12.11,197.22,4.97,0.03
MITx/7.00x/2013_Spring,1.0,0.67,0.12,0.08,0.08,901.2,11.03,201.02,4.94,0.02
HarvardX/PH207x/2012_Fall,1.0,0.45,0.04,0.01,0.03,370.2,4.86,191.75,3.35,0.0
MITx/8.02x/2013_Spring,1.0,0.72,0.11,0.07,0.07,1237.66,11.59,216.17,5.25,0.02
