Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.58,0.1,0.08,0.08,988.31,8.52,200.2,4.37,0.02
MITx/6.00x/2012_Fall,1.0,0.69,0.09,0.05,0.06,915.32,9.27,124.27,4.3,0.06
MITx/8.MReV/2013_Summer,1.0,0.72,0.02,0.01,0.03,436.51,5.1,7.33,4.46,0.0
MITx/6.002x/2012_Fall,1.0,0.68,0.06,0.03,0.04,481.34,5.82,105.61,3.77,0.01
MITx/14.73x/2013_Spring,1.0,0.62,0.13,0.1,0.1,703.14,6.34,114.18,3.55,0.0
MITx/6.00x/2013_Spring,1.0,0.96,0.04,0.02,0.03,544.45,5.97,65.03,3.39,0.01
MITx/7.00x/2013_Spring,1.0,0.63,0.08,0.04,0.05,601.08,7.43,135.77,4.08,0.04
MITx/3.091x/2013_Spring,1.0,0.98,0.04,0.03,0.04,566.21,6.41,101.62,3.36,0.0
MITx/2.01x/2013_Spring,1.0,0.67,0.09,0.03,0.05,555.85,6.62,77.95,3.39,0.0
HarvardX/PH278x/2013_Spring,1.0,0.44,0.03,0.02,0.03,164.68,4.34,32.91,2.43,0.0
MITx/6.002x/2013_Spring,1.0,0.5,0.03,0.02,0.03,361.84,5.21,81.33,3.69,0.01
HarvardX/CB22x/2013_Spring,1.0,0.62,0.02,0.01,0.02,153.32,4.9,0.0,3.24,0.0
HarvardX/CS50x/2012,1.0,0.72,0.12,0.02,0.02,47.22,5.02,0.0,3.17,0.0
HarvardX/ER22x/2013_Spring,1.0,0.63,0.08,0.06,0.06,183.19,4.8,0.0,6.91,0.03
HarvardX/PH207x/2012_Fall,1.0,0.63,0.11,0.05,0.08,676.13,6.34,201.23,4.28,0.0
MITx/8.02x/2013_Spring,1.0,0.65,0.05,0.03,0.04,754.92,7.09,114.42,4.06,0.05
