colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
18,0,1,0,100.0,0.0,1014.0,12.0,99.0
1,3,3,47.0,11.0,3.0,880.0,4.0,8.0
9,1,1,464.0,95.0,1.0,4369.0,14.0,51.0
3,0,62,0,85.0,0.0,1415.0,33.0,16.0
8,0,18,0,100.0,0.0,415.0,12.0,47.0
2,1,7,215.0,11.0,1.0,1983.0,5.0,14.0
15,1,1,1785.0,90.0,1.0,11886.0,16.0,83.0
14,0,1,1016.0,96.0,0.0,6721.0,16.0,77.0
9,4,1,0,0,5.0,2197.0,24.0,52.0
5,1,2,0,0,1.0,1704.0,32.0,29.0
0,3,3,69.0,0.0,3.0,202.0,2.0,3.0
4,0,37,0,0,0.0,0,0,22.0
1,2,1,0,0,2.0,199.0,6.0,6.0
9,0,9,0,0,0.0,253.0,2.0,51.0
3,3,1,572.0,4.0,3.0,2021.0,16.0,16.0
15,0,2,0,87.0,0.0,1538.0,34.0,83.0
20,0,1,0,16.0,0.0,3483.0,27.0,110.0
5,0,24,0,100.0,0.0,211.0,12.0,28.0
2,2,2,0,87.0,2.0,662.0,18.0,11.0
10,0,8,0,100.0,0.0,180.0,12.0,57.0
4,1,2,0,69.0,1.0,913.0,22.0,22.0
1,1,11,0,0.0,1.0,149.0,3.0,7.0
6,4,1,0,91.0,5.0,1570.0,34.0,33.0
3,2,2,0,73.0,2.0,963.0,24.0,20.0
0,0,2080,0,0.0,0.0,1.0,2.0,1.0
6,0,16,0,100.0,0.0,246.0,11.0,35.0
1,4,1,0,5.0,5.0,338.0,10.0,6.0
11,0,8,0,76.0,0.0,2113.0,34.0,60.0
16,0,1,0,91.0,0.0,2653.0,34.0,85.0
2,3,1,0,3.0,3.0,429.0,11.0,11.0
29,0,1,0,93.0,0.0,6526.0,26.0,159.0
1,0,245,0,0.0,0.0,54.0,12.0,8.0
22,0,1,0,84.0,0.0,2426.0,29.0,118.0
0,1,13,0,0.0,1.0,57.0,1.0,4.0
7,0,10,922.0,13.0,0.0,3195.0,9.0,38.0
12,0,3,0,68.0,0.0,2759.0,32.0,68.0
6,1,1,466.0,86.0,1.0,2087.0,7.0,36.0
3,1,4,0,0,1.0,839.0,23.0,20.0
2,0,110,0,0.0,0.0,372.0,25.0,14.0
23,0,1,0,0.0,0.0,787.0,6.0,123.0
5,2,1,0,1.0,2.0,608.0,26.0,28.0
0,2,3,0,0.0,2.0,234.0,3.0,4.0
13,0,4,0,0.0,0.0,0,0,69.0
0,4,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0
