colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
1,21,1,0,71.0,1.0,1930.0,32.0,9.0
0,27,6,0,92.0,0.0,290.0,9.0,3.0
3,1,1,572.0,4.0,3.0,2021.0,16.0,16.0
0,20,2,0,68.0,0.0,2759.0,32.0,68.0
3,0,5,69.0,0.0,3.0,202.0,2.0,3.0
0,14,1,0,48.0,0.0,842.0,33.0,35.0
2,1,1,80.0,4.0,2.0,464.0,3.0,5.0
0,16,2,267.0,55.00000000000001,0.0,4257.0,14.0,39.0
0,10,1,103.0,35.0,0.0,1068.0,3.0,14.0
1,29,1,0,98.0,1.0,1038.0,34.0,23.0
0,3,10,922.0,13.0,0.0,3195.0,9.0,38.0
2,5,1,122.0,17.0,2.0,1242.0,5.0,15.0
1,20,2,0,69.0,1.0,913.0,22.0,22.0
0,28,3,1016.0,96.0,0.0,6721.0,16.0,77.0
0,21,2,0,73.0,0.0,1698.0,31.0,23.0
1,25,2,0,86.0,1.0,1301.0,31.0,19.0
0,15,1,69.0,53.0,0.0,906.0,4.0,13.0
0,6,1,58.0,21.0,0.0,657.0,3.0,5.0
0,24,6,604.0,80.0,0.0,3178.0,9.0,44.0
0,11,2,63.0,37.0,0.0,1099.0,8.0,11.0
1,28,1,464.0,95.0,1.0,4369.0,14.0,51.0
0,4,6,0,16.0,0.0,3483.0,27.0,110.0
1,3,1,215.0,11.0,1.0,1983.0,5.0,14.0
2,26,1,0,87.0,2.0,662.0,18.0,11.0
0,29,34,0,100.0,0.0,246.0,11.0,35.0
1,1,3,61.0,4.0,1.0,478.0,3.0,9.0
0,22,1,0,76.0,0.0,2113.0,34.0,60.0
0,0,4358,0,0.0,0.0,372.0,25.0,14.0
0,25,4,0,85.0,0.0,1415.0,33.0,16.0
0,18,3,0,61.0,0.0,1302.0,33.0,31.0
0,5,5,0,18.0,0.0,1036.0,9.0,12.0
4,27,1,0,91.0,5.0,1570.0,34.0,33.0
1,0,23,0,0.0,1.0,57.0,1.0,4.0
0,8,2,72.0,28.999999999999996,0.0,1211.0,4.0,6.0
