colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
7,20,1,572.0,4.0,3.0,2021.0,16.0,16.0
0,0,4,61.0,4.0,1.0,478.0,3.0,9.0
1,12,2,80.0,4.0,2.0,464.0,3.0,5.0
0,20,2,47.0,11.0,3.0,880.0,4.0,8.0
6,0,2,464.0,95.0,1.0,4369.0,14.0,51.0
2,0,1,215.0,11.0,1.0,1983.0,5.0,14.0
1,0,2,99.0,1.0,1.0,754.0,2.0,5.0
24,0,1,1785.0,90.0,1.0,11886.0,16.0,83.0
0,1,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
