colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
23,4,1,0,0,5.0,2197.0,24.0,52.0
18,0,32,0,0,0.0,0,0,22.0
10,4,1,0,5.0,5.0,338.0,10.0,6.0
12,1,3,20.0,0.0,1.0,244.0,3.0,8.0
9,1,3,0,0.0,1.0,171.0,4.0,5.0
8,0,158,11.0,0.0,0.0,172.0,2.0,4.0
16,2,2,122.0,17.0,2.0,1242.0,5.0,15.0
29,0,1,0,93.0,0.0,6526.0,26.0,159.0
15,1,2,215.0,11.0,1.0,1983.0,5.0,14.0
14,0,54,0,0.0,0.0,0,3.0,12.0
19,0,23,0,100.0,0.0,211.0,12.0,28.0
24,0,12,0,68.0,0.0,2759.0,32.0,68.0
10,3,1,0,0.0,3.0,156.0,3.0,6.0
18,1,3,0,69.0,1.0,913.0,22.0,22.0
4,0,462,0,0.0,0.0,3.0,0,2.0
17,2,1,0,73.0,2.0,963.0,24.0,20.0
9,0,115,0,0.0,0.0,79.0,3.0,5.0
8,1,2,0,0.0,1.0,57.0,1.0,4.0
21,1,1,466.0,86.0,1.0,2087.0,7.0,36.0
16,3,1,572.0,4.0,3.0,2021.0,16.0,16.0
15,0,44,0,0.0,0.0,372.0,25.0,14.0
25,0,5,0,0.0,0.0,0,0,69.0
20,0,18,0,0.0,0.0,0,0,30.0
6,3,2,69.0,0.0,3.0,202.0,2.0,3.0
14,1,5,0,4.0,1.0,254.0,4.0,12.0
11,1,2,0,0.0,1.0,149.0,3.0,7.0
10,0,72,0,0.0,0.0,30.0,1.0,6.0
20,4,1,0,91.0,5.0,1570.0,34.0,33.0
4,1,4,0,0.0,1.0,132.0,5.0,2.0
12,3,2,47.0,11.0,3.0,880.0,4.0,8.0
0,1,1,0,0.0,1.0,25.0,0,1.0
0,0,1117,0,0.0,0.0,1.0,2.0,1.0
8,2,1,0,0.0,2.0,234.0,3.0,4.0
21,0,18,0,100.0,0.0,246.0,11.0,35.0
26,0,3,0,87.0,0.0,1538.0,34.0,83.0
9,3,1,0,0.0,3.0,141.0,3.0,5.0
20,1,1,0,68.0,1.0,1144.0,33.0,30.0
6,0,228,0,0.0,0.0,0,2.0,3.0
17,1,3,0,0,1.0,839.0,23.0,20.0
11,0,57,18.0,4.0,0.0,210.0,2.0,7.0
19,2,1,0,1.0,2.0,608.0,26.0,28.0
16,0,34,0,85.0,0.0,1415.0,33.0,16.0
10,1,3,0,0.0,1.0,35.0,1.0,6.0
23,1,1,464.0,95.0,1.0,4369.0,14.0,51.0
4,2,1,0,0.0,2.0,94.0,3.0,2.0
14,2,1,0,87.0,2.0,662.0,18.0,11.0
22,0,20,0,100.0,0.0,415.0,12.0,47.0
27,0,2,0,16.0,0.0,3483.0,27.0,110.0
13,1,3,61.0,4.0,1.0,478.0,3.0,9.0
26,1,1,1785.0,90.0,1.0,11886.0,16.0,83.0
12,0,46,0,0.0,0.0,54.0,12.0,8.0
9,2,1,80.0,4.0,2.0,464.0,3.0,5.0
17,0,35,0,4.0,0.0,399.0,16.0,20.0
23,0,15,0,100.0,0.0,180.0,12.0,57.0
28,0,2,0,0.0,0.0,787.0,6.0,123.0
14,3,1,0,3.0,3.0,429.0,11.0,11.0
19,1,1,0,0,1.0,1704.0,32.0,29.0
6,1,3,0,0,1.0,133.0,3.0,3.0
13,0,70,29.0,0.0,0.0,206.0,4.0,10.0
10,2,1,0,0,2.0,199.0,6.0,6.0
0,2,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0
16,4,0,0,0,0,0,0,0
17,3,0,0,0,0,0,0,0
17,4,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0
18,3,0,0,0,0,0,0,0
18,4,0,0,0,0,0,0,0
19,3,0,0,0,0,0,0,0
19,4,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0
21,3,0,0,0,0,0,0,0
21,4,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0
22,3,0,0,0,0,0,0,0
22,4,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0
24,3,0,0,0,0,0,0,0
24,4,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0
25,2,0,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0
25,4,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0
26,3,0,0,0,0,0,0,0
26,4,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0
27,4,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0
28,4,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0
29,3,0,0,0,0,0,0,0
29,4,0,0,0,0,0,0,0
