colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
6,9,17,0,0.0,0.0,22.0,2.0,3.0
19,19,2,0,0.0,0.0,466.0,24.0,25.0
10,17,7,0,0.0,0.0,205.0,4.0,6.0
15,20,3,0,8.0,0.0,533.0,4.0,13.0
11,23,1,202.0,11.0,0.0,1465.0,4.0,7.0
14,17,11,31.0,0.0,0.0,240.0,13.0,12.0
0,7,59,0,0.0,0.0,10.0,1.0,1.0
22,19,6,0,100.0,0.0,415.0,12.0,47.0
13,17,5,29.0,0.0,0.0,206.0,4.0,10.0
18,22,2,224.0,10.0,0.0,1017.0,6.0,22.0
18,19,1,0,62.0,0.0,494.0,10.0,24.0
0,10,24,0,0.0,0.0,31.0,2.0,1.0
23,26,2,464.0,95.0,1.0,4369.0,14.0,51.0
14,10,1,0,0.0,0.0,25.0,7.0,11.0
8,5,6,0,0.0,0.0,6.0,1.0,4.0
15,14,4,0,0.0,0.0,80.0,10.0,13.0
11,11,4,0,0.0,0.0,40.0,2.0,7.0
10,8,1,1.0,0.0,0.0,16.0,1.0,6.0
6,7,16,2.0,0.0,0.0,9.0,1.0,3.0
18,16,3,0,0.0,0.0,163.0,9.0,24.0
13,10,2,0,0.0,0.0,31.0,1.0,10.0
6,10,21,0,0.0,0.0,24.0,4.0,3.0
17,24,3,122.0,32.0,0.0,2060.0,11.0,20.0
9,21,1,99.0,1.0,1.0,754.0,2.0,5.0
10,18,2,0,5.0,5.0,338.0,10.0,6.0
0,17,1,0,0.0,0.0,206.0,2.0,1.0
16,22,2,181.0,9.0,0.0,1003.0,4.0,15.0
12,17,4,33.0,0,0.0,271.0,3.0,8.0
0,4,40,0,0.0,0.0,4.0,1.0,1.0
13,20,3,0,7.000000000000001,0.0,669.0,20.0,10.0
18,20,2,0,4.0,0.0,646.0,12.0,21.0
8,15,6,0,0.0,0.0,130.0,8.0,4.0
4,10,20,0,0.0,0.0,25.0,2.0,2.0
12,12,2,0,0.0,0.0,54.0,12.0,8.0
9,14,10,0,0.0,0.0,96.0,2.0,5.0
15,18,4,0,0.0,0.0,372.0,25.0,14.0
4,5,41,0,0.0,0.0,5.0,1.0,2.0
10,13,8,0,0.0,0.0,72.0,3.0,6.0
14,24,1,279.0,85.0,0.0,2157.0,9.0,12.0
4,16,4,0,0.0,0.0,170.0,2.0,2.0
19,24,2,133.0,19.0,0.0,2170.0,10.0,26.0
9,16,8,0,0.0,1.0,171.0,4.0,5.0
24,24,3,0,76.0,0.0,2113.0,34.0,60.0
14,15,5,0,0,0.0,120.0,4.0,12.0
17,20,2,0,7.000000000000001,0.0,570.0,6.0,20.0
12,11,2,0,0.0,0.0,39.0,2.0,8.0
17,13,1,0,100.0,0.0,65.0,12.0,19.0
16,19,2,0,0.0,0.0,495.0,16.0,16.0
21,18,2,0,0.0,0.0,369.0,12.0,37.0
27,22,1,0,100.0,0.0,1014.0,12.0,99.0
14,16,7,8.0,0.0,0.0,159.0,5.0,11.0
17,18,2,0,0.0,0.0,286.0,4.0,19.0
23,19,1,0,100.0,0.0,430.0,12.0,55.0
22,25,2,604.0,80.0,0.0,3178.0,9.0,44.0
13,23,1,206.0,6.0,0.0,1523.0,4.0,10.0
10,22,1,72.0,28.999999999999996,0.0,1211.0,4.0,6.0
18,25,1,891.0,13.0,0.0,2796.0,6.0,23.0
8,12,16,0,0.0,0.0,44.0,1.0,4.0
23,28,1,2174.0,0,0.0,7865.0,12.0,55.0
4,15,5,11.0,0.0,0.0,145.0,2.0,2.0
9,9,6,0,0.0,0.0,18.0,1.0,5.0
16,18,2,0,0.0,0.0,294.0,8.0,16.0
11,8,1,0,0.0,0.0,15.0,1.0,7.0
10,14,7,0,0.0,0.0,91.0,2.0,6.0
8,18,1,10.0,0,0.0,371.0,2.0,4.0
6,13,11,0,0.0,0.0,72.0,2.0,3.0
11,15,7,0,0.0,0.0,126.0,5.0,7.0
9,19,2,29.0,10.0,0.0,419.0,4.0,5.0
15,16,6,0,0.0,0.0,194.0,3.0,13.0
6,16,6,0,1.0,0.0,185.0,3.0,3.0
21,24,2,0,71.0,0.0,2101.0,34.0,40.0
17,25,1,232.0,15.0,0.0,2546.0,7.0,19.0
11,16,7,10.0,0.0,0.0,171.0,2.0,7.0
12,21,1,47.0,11.0,3.0,880.0,4.0,8.0
15,13,3,0,0.0,0.0,61.0,12.0,14.0
22,23,3,0,14.000000000000002,0.0,1562.0,31.0,44.0
19,22,2,0,9.0,0.0,1005.0,18.0,27.0
18,15,2,0,100.0,0.0,131.0,12.0,21.0
0,14,10,0,0.0,0.0,84.0,4.0,1.0
8,9,12,0,0,0.0,20.0,1.0,4.0
4,12,17,0,0,0.0,46.0,3.0,2.0
11,10,1,0,0,0.0,29.0,1.0,7.0
16,13,1,0,0.0,0.0,62.0,8.0,16.0
21,23,1,0,32.0,0.0,1556.0,12.0,37.0
6,14,13,3.0,0,0.0,85.0,4.0,3.0
19,18,3,0,0.0,0.0,303.0,4.0,26.0
15,23,2,282.0,10.0,0.0,1339.0,4.0,13.0
17,21,3,0,73.0,2.0,963.0,24.0,20.0
12,13,4,0,100.0,0.0,76.0,10.0,8.0
26,29,1,1785.0,90.0,1.0,11886.0,16.0,83.0
13,16,8,0,0.0,0.0,188.0,12.0,10.0
6,11,13,0,0.0,0.0,38.0,12.0,3.0
0,11,18,3.0,1.0,0.0,32.0,2.0,1.0
8,6,8,0,0.0,0.0,8.0,12.0,4.0
10,9,2,0,0.0,0.0,20.0,9.0,6.0
9,7,6,0,0.0,0.0,10.0,1.0,5.0
6,4,7,0,0.0,0.0,4.0,0,3.0
11,9,3,0,0.0,0.0,19.0,2.0,7.0
14,21,1,0,6.0,0.0,728.0,6.0,11.0
9,20,2,144.0,4.0,0.0,629.0,3.0,5.0
24,28,1,875.0,90.0,0.0,6528.0,16.0,62.0
14,19,3,0,0.0,0.0,387.0,4.0,12.0
