colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
0,1,3,61.0,4.0,1.0,478.0,3.0,9.0
0,22,1,106.0,75.0,1.0,1491.0,9.0,21.0
0,27,1,1785.0,90.0,1.0,11886.0,16.0,83.0
0,0,23,0,0.0,1.0,57.0,1.0,4.0
0,21,1,0,71.0,1.0,1930.0,32.0,9.0
20,3,1,47.0,11.0,3.0,880.0,4.0,8.0
0,20,2,0,69.0,1.0,913.0,22.0,22.0
0,25,2,0,86.0,1.0,1301.0,31.0,19.0
12,26,1,0,87.0,2.0,662.0,18.0,11.0
12,0,3,0,0.0,2.0,234.0,3.0,4.0
20,1,1,572.0,4.0,3.0,2021.0,16.0,16.0
4,27,1,0,91.0,5.0,1570.0,34.0,33.0
20,0,5,69.0,0.0,3.0,202.0,2.0,3.0
12,5,1,122.0,17.0,2.0,1242.0,5.0,15.0
4,1,1,0,5.0,5.0,338.0,10.0,6.0
12,21,1,0,73.0,2.0,963.0,24.0,20.0
12,1,1,80.0,4.0,2.0,464.0,3.0,5.0
0,3,1,215.0,11.0,1.0,1983.0,5.0,14.0
0,29,1,0,98.0,1.0,1038.0,34.0,23.0
0,28,1,464.0,95.0,1.0,4369.0,14.0,51.0
0,2,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0
2,11,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0
2,13,0,0,0,0,0,0,0
2,14,0,0,0,0,0,0,0
2,15,0,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,0
2,18,0,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0
2,21,0,0,0,0,0,0,0
2,22,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0
2,24,0,0,0,0,0,0,0
2,25,0,0,0,0,0,0,0
2,26,0,0,0,0,0,0,0
2,27,0,0,0,0,0,0,0
2,28,0,0,0,0,0,0,0
2,29,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0
3,15,0,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0
3,18,0,0,0,0,0,0,0
3,19,0,0,0,0,0,0,0
3,20,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0
3,22,0,0,0,0,0,0,0
