colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
18,0,4,122.0,32.0,0.0,2060.0,11.0,20.0
8,0,18,9.0,0.0,0.0,48.0,2.0,4.0
29,0,1,2174.0,0,0.0,7865.0,12.0,55.0
14,0,6,44.0,3.0,0.0,633.0,3.0,8.0
19,0,7,150.0,79.0,0.0,1419.0,9.0,24.0
24,0,2,604.0,80.0,0.0,3178.0,9.0,44.0
18,1,1,106.0,75.0,1.0,1491.0,9.0,21.0
4,0,11,3.0,1.0,0.0,32.0,2.0,1.0
9,0,12,11.0,0.0,0.0,172.0,2.0,4.0
29,1,1,1785.0,90.0,1.0,11886.0,16.0,83.0
16,3,1,69.0,0.0,3.0,202.0,2.0,3.0
15,0,6,57.0,0,0.0,279.0,2.0,9.0
20,0,7,169.0,9.0,0.0,950.0,3.0,10.0
17,2,1,80.0,4.0,2.0,464.0,3.0,5.0
14,1,1,38.0,0.0,1.0,296.0,2.0,12.0
11,1,1,20.0,0.0,1.0,244.0,3.0,8.0
5,0,9,4.0,0,0.0,54.0,1.0,3.0
15,3,1,47.0,11.0,3.0,880.0,4.0,8.0
10,0,11,16.0,0.0,0.0,92.0,2.0,7.0
27,0,3,1016.0,96.0,0.0,6721.0,16.0,77.0
0,0,25,1.0,0.0,0.0,21.0,1.0,3.0
21,0,5,267.0,55.00000000000001,0.0,4257.0,14.0,39.0
18,2,1,122.0,17.0,2.0,1242.0,5.0,15.0
26,0,5,922.0,13.0,0.0,3195.0,9.0,38.0
20,1,1,215.0,11.0,1.0,1983.0,5.0,14.0
6,0,11,5.0,0.0,0.0,125.0,2.0,12.0
17,1,1,99.0,1.0,1.0,754.0,2.0,5.0
11,0,8,18.0,4.0,0.0,210.0,2.0,7.0
16,0,7,72.0,28.999999999999996,0.0,1211.0,4.0,6.0
23,1,2,464.0,95.0,1.0,4369.0,14.0,51.0
22,0,5,355.0,1.0,0.0,1335.0,6.0,30.0
0,1,1,1.0,0.0,1.0,56.0,2.0,11.0
7,0,11,7.0,0.0,0.0,106.0,1.0,3.0
12,0,12,25.0,6.0,0.0,447.0,3.0,7.0
17,0,6,100.0,0.0,0.0,239.0,4.0,12.0
16,1,1,61.0,4.0,1.0,478.0,3.0,9.0
2,0,25,2.0,0.0,0.0,9.0,1.0,3.0
24,3,1,572.0,4.0,3.0,2021.0,16.0,16.0
23,0,2,365.0,80.0,0.0,2117.0,9.0,68.0
13,0,16,29.0,0.0,0.0,206.0,4.0,10.0
0,2,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
